公司ID	公司名称	品牌ID	品牌名称	车系ID	车系名车	产品ID	产品名称	车型ID	车型名称	厂商	厂商指导最低价(万元)	厂商指导最高价(万元)	发动机	变速箱	官方0-100km/h加速(s)	实测0-100km/h加速(s)	实测100-0km/h制动(m)	实测油耗(L/100km)	实测离地间隙(mm)	工信部综合油耗(L/100km)	市场细分类型	整车质保	最高车速(km/h)	级别	前轮距(mm)	后排车门开启方式	后轮距(mm)	宽度(mm)	座位数(个)	整备质量(kg)	最大载重质量(kg)	最小离地间隙(mm)	油箱容积(L)	货箱尺寸(mm)	车身结构	车门数(个)	轴距(mm)	长度(mm)	高度(mm)	供油方式	压缩比	发动机型号	发动机特有技术	排量(L)	排量(mL)	最大功率(kW)	最大功率转速(rpm)	最大扭矩(N.m)	最大扭矩转速(rpm)	最大马力(Ps)	每缸气门数(个)	气缸排列形式	气缸数(个)	燃料形式	燃油标号	环保标准	缸体材料	缸径(mm)	缸盖材料	行程(mm)	进气形式	配气机构	变速箱类型	挡位个数	简称	前电动机最大功率(kW)	前电动机最大扭矩(N.m)	后电动机最大功率(kW)	后电动机最大扭矩(N.m)	电动机总功率(kW)	电动机总扭矩(N.m)	电池容量(kWh)	电池支持最高续航里程(km)	中央差速器结构	前悬架类型	助力类型	后悬架类型	四驱形式	车体结构	驱动方式	前制动器类型	前轮胎规格	后制动器类型	后轮胎规格	备胎规格	驻车制动类型	ISOFIX儿童座椅接口	主驾驶座安全气囊	前排侧气囊	前排头部气囊(气帘)	副驾驶座安全气囊	发动机电子防盗	后排侧气囊	后排头部气囊(气帘)	安全带未系提示	无钥匙启动系统	无钥匙进入系统	胎压监测装置	膝部气囊	车内中控锁	遥控钥匙	零胎压继续行驶	ABS防抱死	上坡辅助	中央差速器锁止功能	制动力分配(EBD/CBC等)	刹车辅助(EBA/BAS/BA等)	前桥限滑差速器	前桥限滑差速锁	可变悬架硬度	可变悬架高度	可变转向比	后桥限滑差速器	后桥限滑差速锁	牵引力控制(ASR/TCS/TRC等)	空气悬架	自动驻车	车身稳定控制(ESC/ESP/DSC等)	车身稳定控制(ESP/DSC/VSC等)	陡坡缓降	全景天窗	手动侧滑门	电动侧滑门	电动后备厢	电动吸合门	电动天窗	运动外观套件	铝合金轮圈	HUD抬头数字显示	倒车视频影像	前驻车雷达	后倒车雷达	后驻车雷达	多功能方向盘	定速巡航	方向盘上下调节	方向盘前后调节	方向盘加热	方向盘换挡	方向盘电动调节	真皮方向盘	行车电脑显示屏	主驾驶座电动调节	前中央扶手	前座中央扶手	前排座椅加热	前排座椅按摩	前排座椅通风	副驾驶座电动调节	后中央扶手	后排座椅加热	后排座椅按摩	后排座椅整体放倒	后排座椅比例放倒	后排座椅电动调节	后排座椅通风	后排杯架	座椅高低调节	电动座椅记忆	真皮/仿皮座椅	第三排座椅	第二排座椅移动	第二排靠背角度调节	肩部支撑调节	腰部支撑调节	运动风格座椅	驾驶位电动调节	CD支持MP3/WMA	GPS导航系统	中控台彩色大屏	内置硬盘	后排液晶屏	外接音源接口(AUX/USB/iPod等)	多媒体系统	定位互动服务	扬声器品牌	扬声器数量	蓝牙/车载电话	车载电视	LED大灯	前雾灯	大灯清洗装置	大灯高度可调	日间行车灯	氙气大灯	自动头灯	车内氛围灯	转向头灯	转向辅助灯	内后视镜自动防眩目	前电动车窗	后排侧遮阳帘	后排侧隐私玻璃	后电动车窗	后视镜加热	后视镜电动折叠	后视镜电动调节	后视镜记忆	后雨刷	后风挡遮阳帘	外后视镜自动防眩目	感应雨刷	车窗防夹手功能	遮阳板化妆镜	防紫外线/隔热玻璃	后座出风口	后排独立空调	温度分区控制	空调手动控制	空调自动控制	车内空气调节/花粉过滤	车载冰箱	中控液晶屏分屏显示	主动刹车/主动安全系统	全景摄像头	发动机启停技术	夜视系统	并线辅助	整体主动转向系统	自动泊车入位	自适应巡航	车道偏离预警系统
01001001001C.52	广汽丰田	01001001001pp.44	丰田	1001001001.395	汉兰达	73.0	汉兰达 2015款 3.5L 四驱豪华导航版 7座	1.0	中型SUV	广汽丰田	38.78	38.78	3.5L 273马力 V6	6挡手自一体	-	-	-	-	-	10.4		三年或10万公里	-	1.0	1635.0	-	1630.0	1925.0	7.0	2060.0	-	-	72.0	-	SUV	5.0	2790.0	4855.0	1720.0	多点电喷	10.8	2GR-FE	双VVT-i及可变进气系统	3.5	3456.0	201.0	6200.0	337.0	4700.0	273.0	4.0	V	6.0	汽油	93号(京92号)	国IV(国V)	铝	94.0	铝	83.0	自然吸气	DOHC	自动变速箱(AT)	6.0	6挡手自一体	-	-	-	-	-	-	-	-	多片离合器	麦弗逊式独立悬架	电动助力	双叉臂式独立悬架	适时四驱	承载式	前置四驱	通风盘式	245/55 R19	盘式	245/55 R19	全尺寸	脚刹	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	-	6-7喇叭	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01001001001C.52	广汽丰田	01001001001pp.44	丰田	1001001001.395	汉兰达	74.0	汉兰达 2015款 3.5L 四驱至尊版 7座	1.0	中型SUV	广汽丰田	42.28	42.28	3.5L 273马力 V6	6挡手自一体	-	-	-	-	-	10.4		三年或10万公里	-	1.0	1635.0	-	1630.0	1925.0	7.0	2060.0	-	-	72.0	-	SUV	5.0	2790.0	4855.0	1720.0	多点电喷	10.8	2GR-FE	双VVT-i及可变进气系统	3.5	3456.0	201.0	6200.0	337.0	4700.0	273.0	4.0	V	6.0	汽油	93号(京92号)	国IV(国V)	铝	94.0	铝	83.0	自然吸气	DOHC	自动变速箱(AT)	6.0	6挡手自一体	-	-	-	-	-	-	-	-	多片离合器	麦弗逊式独立悬架	电动助力	双叉臂式独立悬架	适时四驱	承载式	前置四驱	通风盘式	245/55 R19	盘式	245/55 R19	全尺寸	脚刹	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	-	6-7喇叭	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
01001001001C.52	广汽丰田	01001001001pp.44	丰田	1001001001.395	汉兰达	75.0	汉兰达 2012款 2.7L 两驱5座精英版	1.0	中型SUV	广汽丰田	24.88	24.88	2.7L 188马力 L4	6挡手自一体	-	-	-	-	-	9.9		三年或10万公里	-	1.0	1625.0	-	1630.0	1910.0	5.0	1775.0	-	-	72.0	-	SUV	5.0	2790.0	4795.0	1730.0	多点电喷	-	3AR-FE	双VVT-i及可变进气系统	2.7	2672.0	138.0	5800.0	252.0	4200.0	188.0	4.0	L	4.0	汽油	93号(京92号)	国IV(国V)	铝	-	铝	-	自然吸气	DOHC	自动变速箱(AT)	6.0	6挡手自一体	-	-	-	-	-	-	-	-	-	麦弗逊式独立悬架	电动助力	双连杆独立悬架	-	承载式	前置前驱	通风盘式	245/65 R17	盘式	245/65 R17	全尺寸	脚刹	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	-	6-7喇叭	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01001001001C.52	广汽丰田	01001001001pp.44	丰田	1001001001.395	汉兰达	76.0	汉兰达 2012款 2.7L 两驱7座精英版	1.0	中型SUV	广汽丰田	26.28	26.28	2.7L 188马力 L4	6挡手自一体	-	-	-	-	-	9.9		三年或10万公里	-	1.0	1625.0	-	1630.0	1910.0	7.0	1815.0	-	-	72.0	-	SUV	5.0	2790.0	4795.0	1730.0	多点电喷	-	3AR-FE	双VVT-i及可变进气系统	2.7	2672.0	138.0	5800.0	252.0	4200.0	188.0	4.0	L	4.0	汽油	93号(京92号)	国IV(国V)	铝	-	铝	-	自然吸气	DOHC	自动变速箱(AT)	6.0	6挡手自一体	-	-	-	-	-	-	-	-	-	麦弗逊式独立悬架	电动助力	双连杆独立悬架	-	承载式	前置前驱	通风盘式	245/65 R17	盘式	245/65 R17	全尺寸	脚刹	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	-	6-7喇叭	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01001001001C.52	广汽丰田	01001001001pp.44	丰田	1001001001.395	汉兰达	77.0	汉兰达 2012款 2.7L 两驱5座运动版	1.0	中型SUV	广汽丰田	27.88	27.88	2.7L 188马力 L4	6挡手自一体	-	-	-	-	-	9.9		三年或10万公里	-	1.0	1625.0	-	1630.0	1910.0	5.0	1805.0	-	-	72.0	-	SUV	5.0	2790.0	4795.0	1760.0	多点电喷	-	3AR-FE	双VVT-i及可变进气系统	2.7	2672.0	138.0	5800.0	252.0	4200.0	188.0	4.0	L	4.0	汽油	93号(京92号)	国IV(国V)	铝	-	铝	-	自然吸气	DOHC	自动变速箱(AT)	6.0	6挡手自一体	-	-	-	-	-	-	-	-	-	麦弗逊式独立悬架	电动助力	双连杆独立悬架	-	承载式	前置前驱	通风盘式	245/55 R19	盘式	245/55 R19	全尺寸	脚刹	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	-	6-7喇叭	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01001001001C.52	广汽丰田	01001001001pp.44	丰田	1001001001.395	汉兰达	78.0	汉兰达 2012款 2.7L 两驱7座豪华版	1.0	中型SUV	广汽丰田	29.88	29.88	2.7L 188马力 L4	6挡手自一体	-	-	-	-	-	9.9		三年或10万公里	-	1.0	1625.0	-	1630.0	1910.0	7.0	1855.0	-	-	72.0	-	SUV	5.0	2790.0	4795.0	1760.0	多点电喷	-	3AR-FE	双VVT-i及可变进气系统	2.7	2672.0	138.0	5800.0	252.0	4200.0	188.0	4.0	L	4.0	汽油	93号(京92号)	国IV(国V)	铝	-	铝	-	自然吸气	DOHC	自动变速箱(AT)	6.0	6挡手自一体	-	-	-	-	-	-	-	-	-	麦弗逊式独立悬架	电动助力	双连杆独立悬架	-	承载式	前置前驱	通风盘式	245/55 R19	盘式	245/55 R19	全尺寸	脚刹	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	-	6-7喇叭	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01001001001C.52	广汽丰田	01001001001pp.44	丰田	1001001001.395	汉兰达	79.0	汉兰达 2012款 2.7L 两驱7座豪华导航版	1.0	中型SUV	广汽丰田	31.88	31.88	2.7L 188马力 L4	6挡手自一体	-	-	-	-	-	9.9		三年或10万公里	-	1.0	1625.0	-	1630.0	1910.0	7.0	1855.0	-	-	72.0	-	SUV	5.0	2790.0	4795.0	1760.0	多点电喷	-	3AR-FE	双VVT-i及可变进气系统	2.7	2672.0	138.0	5800.0	252.0	4200.0	188.0	4.0	L	4.0	汽油	93号(京92号)	国IV(国V)	铝	-	铝	-	自然吸气	DOHC	自动变速箱(AT)	6.0	6挡手自一体	-	-	-	-	-	-	-	-	-	麦弗逊式独立悬架	电动助力	双连杆独立悬架	-	承载式	前置前驱	通风盘式	245/55 R19	盘式	245/55 R19	全尺寸	脚刹	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	-	6-7喇叭	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01001001001C.52	广汽丰田	01001001001pp.44	丰田	1001001001.395	汉兰达	80.0	汉兰达 2012款 2.7L 两驱7座至尊版	1.0	中型SUV	广汽丰田	33.88	33.88	2.7L 188马力 L4	6挡手自一体	-	-	-	-	-	9.9		三年或10万公里	-	1.0	1625.0	-	1630.0	1910.0	7.0	1875.0	-	-	72.0	-	SUV	5.0	2790.0	4795.0	1760.0	多点电喷	-	3AR-FE	双VVT-i及可变进气系统	2.7	2672.0	138.0	5800.0	252.0	4200.0	188.0	4.0	L	4.0	汽油	93号(京92号)	国IV(国V)	铝	-	铝	-	自然吸气	DOHC	自动变速箱(AT)	6.0	6挡手自一体	-	-	-	-	-	-	-	-	-	麦弗逊式独立悬架	电动助力	双连杆独立悬架	-	承载式	前置前驱	通风盘式	245/55 R19	盘式	245/55 R19	全尺寸	脚刹	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	-	6-7喇叭	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01001001001C.52	广汽丰田	01001001001pp.44	丰田	1001001001.395	汉兰达	81.0	汉兰达 2012款 3.5L 四驱7座精英版	1.0	中型SUV	广汽丰田	32.98	32.98	3.5L 273马力 V6	5挡手自一体	-	-	-	-	-	12.1		三年或10万公里	-	1.0	1625.0	-	1625.0	1910.0	7.0	2005.0	-	-	72.0	-	SUV	5.0	2790.0	4795.0	1730.0	多点电喷	10.8	2GR-FE	双VVT-i及可变进气系统	3.5	3456.0	201.0	6200.0	337.0	4700.0	273.0	4.0	V	6.0	汽油	93号(京92号)	国IV(国V)	铝	94.0	铝	83.0	自然吸气	DOHC	自动变速箱(AT)	5.0	5挡手自一体	-	-	-	-	-	-	-	-	开放式差速器	麦弗逊式独立悬架	电动助力	双连杆独立悬架	全时四驱	承载式	前置四驱	通风盘式	245/65 R17	盘式	245/65 R17	全尺寸	脚刹	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	-	6-7喇叭	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01001001001C.52	广汽丰田	01001001001pp.44	丰田	1001001001.395	汉兰达	82.0	汉兰达 2012款 3.5L 四驱7座豪华版	1.0	中型SUV	广汽丰田	37.98	37.98	3.5L 273马力 V6	5挡手自一体	-	-	-	-	-	12.1		三年或10万公里	-	1.0	1625.0	-	1625.0	1910.0	7.0	2020.0	-	-	72.0	-	SUV	5.0	2790.0	4795.0	1760.0	多点电喷	10.8	2GR-FE	双VVT-i及可变进气系统	3.5	3456.0	201.0	6200.0	337.0	4700.0	273.0	4.0	V	6.0	汽油	93号(京92号)	国IV(国V)	铝	94.0	铝	83.0	自然吸气	DOHC	自动变速箱(AT)	5.0	5挡手自一体	-	-	-	-	-	-	-	-	开放式差速器	麦弗逊式独立悬架	电动助力	双连杆独立悬架	全时四驱	承载式	前置四驱	通风盘式	245/55 R19	盘式	245/55 R19	全尺寸	脚刹	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	-	6-7喇叭	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01001001001C.52	广汽丰田	01001001001pp.44	丰田	1001001001.395	汉兰达	83.0	汉兰达 2012款 3.5L 四驱7座豪华导航版	1.0	中型SUV	广汽丰田	39.98	39.98	3.5L 273马力 V6	5挡手自一体	-	-	-	-	-	12.1		三年或10万公里	-	1.0	1625.0	-	1625.0	1910.0	7.0	2020.0	-	-	72.0	-	SUV	5.0	2790.0	4795.0	1760.0	多点电喷	10.8	2GR-FE	双VVT-i及可变进气系统	3.5	3456.0	201.0	6200.0	337.0	4700.0	273.0	4.0	V	6.0	汽油	93号(京92号)	国IV(国V)	铝	94.0	铝	83.0	自然吸气	DOHC	自动变速箱(AT)	5.0	5挡手自一体	-	-	-	-	-	-	-	-	开放式差速器	麦弗逊式独立悬架	电动助力	双连杆独立悬架	全时四驱	承载式	前置四驱	通风盘式	245/55 R19	盘式	245/55 R19	全尺寸	脚刹	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	-	6-7喇叭	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01001001001C.52	广汽丰田	01001001001pp.44	丰田	1001001001.395	汉兰达	84.0	汉兰达 2012款 3.5L 四驱7座至尊版	1.0	中型SUV	广汽丰田	42.98	42.98	3.5L 273马力 V6	5挡手自一体	-	-	-	-	-	12.1		三年或10万公里	-	1.0	1625.0	-	1625.0	1910.0	7.0	2030.0	-	-	72.0	-	SUV	5.0	2790.0	4795.0	1760.0	多点电喷	10.8	2GR-FE	双VVT-i及可变进气系统	3.5	3456.0	201.0	6200.0	337.0	4700.0	273.0	4.0	V	6.0	汽油	93号(京92号)	国IV(国V)	铝	94.0	铝	83.0	自然吸气	DOHC	自动变速箱(AT)	5.0	5挡手自一体	-	-	-	-	-	-	-	-	开放式差速器	麦弗逊式独立悬架	电动助力	双连杆独立悬架	全时四驱	承载式	前置四驱	通风盘式	245/55 R19	盘式	245/55 R19	全尺寸	脚刹	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	-	6-7喇叭	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
